Date,Open,High,Low,Close,Adj Close,Volume
2024-03-14 22:02:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:03:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:04:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:05:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:06:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:07:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:08:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:09:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:10:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:11:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:12:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:13:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:14:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:15:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:16:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:17:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:18:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:19:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:20:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:21:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:22:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:23:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:24:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:25:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:26:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:27:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:28:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:29:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:30:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:31:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:32:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:33:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:34:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:35:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:36:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:37:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:38:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:39:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:40:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:41:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:42:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:43:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:44:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:45:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:46:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:47:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:48:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:49:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:50:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:51:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:52:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:53:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:54:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:55:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:56:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:57:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:58:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 22:59:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:00:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:01:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:02:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:03:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:04:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:05:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:06:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:07:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:08:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:09:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:10:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:11:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:12:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:13:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:14:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:15:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:16:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:17:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:18:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:19:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
2024-03-14 23:20:00+00:00,535.25,537.5,530.75,530.75,530.75,4530
