Date,Open,High,Low,Close,Volume
2024-05-14 22:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 22:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 22:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 23:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 23:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 23:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-14 23:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 00:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 00:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 00:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 00:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 01:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 01:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 01:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 01:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 02:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 02:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 02:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 02:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 03:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 03:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 03:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 03:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 04:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 04:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 04:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 04:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 05:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 05:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 05:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 05:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 06:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 06:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 06:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 06:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 07:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 07:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 07:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 07:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 08:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 08:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 08:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 08:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 09:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 09:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 09:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 09:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 10:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 10:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 10:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 10:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 11:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 11:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 11:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 11:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 12:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 12:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 12:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 12:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 13:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 13:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 13:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 13:46:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 14:01:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 14:16:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 14:31:00+00:00,471.75,473.25,471.25,472.75,19550
2024-05-15 14:46:00+00:00,472.5,472.75,470.25,471.0,15805
2024-05-15 15:01:00+00:00,471.0,471.25,468.75,468.75,11284
2024-05-15 15:16:00+00:00,468.75,469.5,464.5,465.25,22100
2024-05-15 15:31:00+00:00,465.25,465.75,464.25,465.0,14942
2024-05-15 15:46:00+00:00,464.75,465.5,463.5,464.75,11015
2024-05-15 16:01:00+00:00,464.75,465.5,463.25,464.75,7545
2024-05-15 16:16:00+00:00,464.75,465.0,463.75,464.5,5036
2024-05-15 16:31:00+00:00,464.5,464.75,463.5,463.5,6845
2024-05-15 16:46:00+00:00,463.75,464.0,463.0,463.5,11707
2024-05-15 17:01:00+00:00,463.5,463.5,461.5,462.5,9931
2024-05-15 17:16:00+00:00,462.75,463.5,462.0,462.5,6560
2024-05-15 17:31:00+00:00,462.5,463.75,462.5,462.75,4504
2024-05-15 17:46:00+00:00,462.75,463.0,462.0,462.5,5854
2024-05-15 18:01:00+00:00,462.5,463.0,462.0,462.75,10536
2024-05-15 18:16:00+00:00,462.75,462.75,462.0,462.25,2868
2024-05-15 18:31:00+00:00,462.5,462.75,461.75,462.0,4378
2024-05-15 18:46:00+00:00,462.0,462.75,461.75,462.75,5945
2024-05-15 19:01:00+00:00,462.75,462.75,461.75,462.5,9634
2024-05-15 19:16:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 19:31:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 19:46:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 20:01:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 20:16:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 20:31:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 20:46:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 21:01:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 21:16:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 21:31:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 21:46:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 22:00:00+00:00,462.5,463.0,462.25,463.0,3187
2024-05-15 22:16:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 22:31:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 22:46:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 23:01:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 23:16:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 23:31:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-15 23:46:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 00:01:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 00:16:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 00:31:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 00:46:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 01:01:00+00:00,462.25,463.5,462.0,463.25,368
2024-05-16 01:16:00+00:00,463.5,463.75,463.25,463.75,186
2024-05-16 01:31:00+00:00,463.5,463.75,463.25,463.75,276
2024-05-16 01:46:00+00:00,463.75,463.75,463.25,463.5,65
2024-05-16 02:01:00+00:00,463.25,463.75,462.25,462.5,870
2024-05-16 02:16:00+00:00,462.75,463.25,462.5,463.25,137
2024-05-16 02:31:00+00:00,463.25,463.5,463.0,463.5,82
2024-05-16 02:46:00+00:00,463.25,463.5,463.25,463.25,61
2024-05-16 03:01:00+00:00,463.25,463.75,463.25,463.25,54
2024-05-16 03:16:00+00:00,463.5,463.5,463.25,463.25,88
2024-05-16 03:31:00+00:00,463.25,463.5,463.25,463.25,57
2024-05-16 03:46:00+00:00,463.25,463.5,463.25,463.25,122
2024-05-16 04:01:00+00:00,463.25,463.5,463.25,463.25,20
